loss,mae,mse,val_loss,val_mae,val_mse,learning_rate
0.09954087436199188,0.21218378841876984,0.07619864493608475,0.14597028493881226,0.26514214277267456,0.12323948740959167,0.0010000000474974513
0.09711748361587524,0.20948855578899384,0.07447231560945511,0.15311437845230103,0.2837371826171875,0.13067229092121124,0.0010000000474974513
0.09806100279092789,0.21119199693202972,0.07543092221021652,0.1415608823299408,0.2645827531814575,0.11930474638938904,0.0010000000474974513
0.09471363574266434,0.20582321286201477,0.07268066704273224,0.14829041063785553,0.2839398682117462,0.12643994390964508,0.0010000000474974513
0.09253951907157898,0.20411978662014008,0.07038728892803192,0.14914217591285706,0.2750248610973358,0.12742099165916443,0.0010000000474974513
0.09234040975570679,0.20261728763580322,0.07043319940567017,0.14408542215824127,0.27215760946273804,0.12160761654376984,0.0010000000474974513
0.09078171104192734,0.20096097886562347,0.06837935745716095,0.1316392868757248,0.2654794454574585,0.10916232317686081,0.0010000000474974513
0.0894225537776947,0.19830361008644104,0.06712827831506729,0.13071893155574799,0.25761643052101135,0.10821642726659775,0.0010000000474974513
0.08852049708366394,0.19679391384124756,0.06611369550228119,0.1433132290840149,0.27041172981262207,0.12123875319957733,0.0010000000474974513
0.08739372342824936,0.19547756016254425,0.06464865058660507,0.14365771412849426,0.2733277380466461,0.12160440534353256,0.0010000000474974513
0.08402396738529205,0.1903568059206009,0.062350690364837646,0.139813631772995,0.26905331015586853,0.11827179789543152,0.0010000000474974513
0.08403343707323074,0.19209973514080048,0.06212655082345009,0.1501932591199875,0.285137414932251,0.12855614721775055,0.0010000000474974513
0.08176074922084808,0.18771521747112274,0.06013379245996475,0.13311022520065308,0.2554406523704529,0.1112399697303772,0.0010000000474974513
0.082090824842453,0.18856561183929443,0.06036979332566261,0.1329992413520813,0.25980624556541443,0.11211376637220383,0.0010000000474974513
0.07871532440185547,0.1835024058818817,0.05777191370725632,0.14138352870941162,0.2726306915283203,0.12089116871356964,0.0010000000474974513
0.07979335635900497,0.1855575144290924,0.05915970727801323,0.14483331143856049,0.27436816692352295,0.12371353060007095,0.0010000000474974513
0.07855119556188583,0.18395264446735382,0.058070506900548935,0.1327374130487442,0.2610766291618347,0.11299286037683487,0.0010000000474974513
0.077287457883358,0.18236391246318817,0.05731644481420517,0.1359144002199173,0.27372294664382935,0.11574991792440414,0.0010000000474974513
0.07189097255468369,0.17594946920871735,0.053183529525995255,0.13782580196857452,0.26692232489585876,0.12020150572061539,0.0005000000237487257
0.06875091791152954,0.1732916682958603,0.05161959305405617,0.15442460775375366,0.2948053777217865,0.13792654871940613,0.0005000000237487257
0.06877414882183075,0.17424070835113525,0.0524771511554718,0.13407458364963531,0.26997077465057373,0.11810973286628723,0.0005000000237487257
0.0677843689918518,0.17414534091949463,0.05187339708209038,0.14550352096557617,0.28047311305999756,0.12985007464885712,0.0005000000237487257
0.06585483253002167,0.17110005021095276,0.05014846473932266,0.13935787975788116,0.27156490087509155,0.12373432517051697,0.0005000000237487257
0.06543789058923721,0.16992340981960297,0.049893688410520554,0.146349236369133,0.2866617739200592,0.1309715360403061,0.0005000000237487257
0.06522267311811447,0.16965118050575256,0.049910206347703934,0.11879302561283112,0.24762806296348572,0.10339168459177017,0.0005000000237487257
0.06520719081163406,0.16996432840824127,0.050060488283634186,0.13833490014076233,0.27514761686325073,0.12340422719717026,0.0005000000237487257
0.06461839377880096,0.16918151080608368,0.049661874771118164,0.14602690935134888,0.2873445153236389,0.13107790052890778,0.0005000000237487257
0.06418758630752563,0.16968892514705658,0.049507807940244675,0.1342599242925644,0.2697213292121887,0.11989082396030426,0.0005000000237487257
0.06448281556367874,0.1698950231075287,0.04979033023118973,0.1325627714395523,0.2635258734226227,0.1176595464348793,0.0005000000237487257
